ORGANISMO_DE_CUENCA,ESTADO,MUNICIPIO,ACUIFERO,SUBTIPO,LONGITUD,LATITUD,CALIDAD_ALC,CALIDAD_CONDUC,CALIDAD_SDT_ra,CALIDAD_SDT_salin,CALIDAD_FLUO,CALIDAD_DUR,CALIDAD_COLI_FEC,CALIDAD_N_NO3,CALIDAD_AS,CALIDAD_CD,CALIDAD_CR,CALIDAD_HG,CALIDAD_PB,CALIDAD_MN,CALIDAD_FE,SEMAFORO,CONTAMINANTES,CUMPLE_CON_ALC,CUMPLE_CON_COND,CUMPLE_CON_SDT_ra,CUMPLE_CON_SDT_salin,CUMPLE_CON_FLUO,CUMPLE_CON_DUR,CUMPLE_CON_CF,CUMPLE_CON_NO3,CUMPLE_CON_AS,CUMPLE_CON_CD,CUMPLE_CON_CR,CUMPLE_CON_HG,CUMPLE_CON_PB,CUMPLE_CON_MN,CUMPLE_CON_FE
PENINSULA DE YUCATAN,YUCATAN,UAYMA,PENINSULA DE YUCATAN,POZO,-88.316667,20.716944,Alta,Permisible para riego,Cultivos sensibles,Potable - Dulce,Baja,Potable - Dura,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Verde,NINGUNO,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
PENINSULA DE YUCATAN,YUCATAN,TINUM,PENINSULA DE YUCATAN,POZO,-88.58953,20.70436,Alta,Permisible para riego,Cultivos sensibles,Potable - Dulce,Baja,Muy dura e indeseable usos industrial y domestico,Potable - Excelente,Potable - Buena calidad,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Amarillo,"DT,",SI,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,SI,SI,SI
PENINSULA DE YUCATAN,YUCATAN,XOCCHEL,PENINSULA DE YUCATAN,POZO,-89.18251,20.83792,Alta,Permisible para riego,Cultivos sensibles,Potable - Dulce,Media,Muy dura e indeseable usos industrial y domestico,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Amarillo,"DT,",SI,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,SI,SI,SI
PENINSULA DE YUCATAN,YUCATAN,YAXCABA,PENINSULA DE YUCATAN,POZO,-88.827222,20.548056,Alta,Permisible para riego,Cultivos sensibles,Potable - Dulce,Baja,Potable - Dura,Potable - Excelente,Potable - Buena calidad,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Verde,NINGUNO,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
RIO BRAVO,NUEVO LEON,MINA,CAMPO MINA,POZO,-100.53748,26.01722,Alta,Permisible para riego,Cultivos sensibles,Potable - Dulce,Media,Potable - Dura,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Verde,NINGUNO,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
RIO BRAVO,NUEVO LEON,CADEREYTA JIMENEZ,CITRICOLA NORTE,POZO,-99.78684,25.53044,Alta,Permisible para riego,Cultivos sensibles,Potable - Dulce,Baja,Potable - Dura,Potable - Excelente,Potable - Buena calidad,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Verde,NINGUNO,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
RIO BRAVO,NUEVO LEON,SALINAS VICTORIA,CAMPO CERRITOS,POZO,-100.12972,26.05851,Alta,Buena para riego,Cultivos sensibles,Potable - Dulce,Baja,Potable - Dura,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Verde,NINGUNO,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
RIO BRAVO,NUEVO LEON,CADEREYTA JIMENEZ,CITRICOLA NORTE,POZO,-99.77911,25.53369,Alta,Permisible para riego,Cultivos sensibles,Potable - Dulce,Baja,Potable - Dura,Potable - Excelente,Potable - Buena calidad,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Verde,NINGUNO,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
RIO BRAVO,NUEVO LEON,MONTERREY,AREA METROPOLITANA DE MONTERREY,POZO,-100.3644,25.67537,Alta,Permisible para riego,Excelente para riego,Potable - Dulce,Baja,Potable - Dura,Potable - Excelente,Potable - Buena calidad,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Verde,NINGUNO,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
RIO BRAVO,NUEVO LEON,MONTERREY,AREA METROPOLITANA DE MONTERREY,POZO,-100.34715,25.68766,Alta,Permisible para riego,Cultivos sensibles,Potable - Dulce,Baja,Potable - Dura,Potable - Excelente,No apta como FAAP,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Rojo,"NO3,",SI,SI,SI,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,SI
RIO BRAVO,NUEVO LEON,CADEREYTA JIMENEZ,CITRICOLA NORTE,POZO,-99.8381,25.55759,Alta,Permisible para riego,Cultivos sensibles,Potable - Dulce,Potable - Optima,Potable - Dura,Buena calidad,Potable - Buena calidad,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Verde,NINGUNO,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
RIO BRAVO,NUEVO LEON,GENERAL TERAN,CITRICOLA NORTE,POZO,-99.72944,25.28444,Alta,Permisible para riego,Cultivos sensibles,Potable - Dulce,Baja,Muy dura e indeseable usos industrial y domestico,Contaminada,Potable - Buena calidad,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Rojo,"DT,CF,",SI,SI,SI,SI,SI,NO,NO,SI,SI,SI,SI,SI,SI,SI,SI
RIO BRAVO,NUEVO LEON,LINARES,CITRICOLA SUR,POZO,-99.43441,24.84821,Indeseable como FAAP,Permisible para riego,Cultivos con manejo especial,Ligeramente salobres,Media,Muy dura e indeseable usos industrial y domestico,Potable - Excelente,No apta como FAAP,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Rojo,"ALC,DT,NO3,",NO,SI,SI,SI,SI,NO,SI,NO,SI,SI,SI,SI,SI,SI,SI
RIO BRAVO,NUEVO LEON,LINARES,CITRICOLA SUR,POZO,-99.43914,24.97478,Alta,Permisible para riego,Cultivos con manejo especial,Ligeramente salobres,Media,Muy dura e indeseable usos industrial y domestico,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Amarillo,"DT,",SI,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,SI,SI,SI
RIO BRAVO,NUEVO LEON,LINARES,CITRICOLA SUR,POZO,-99.54191,24.76036,Alta,Dudosa para riego,Cultivos con manejo especial,Ligeramente salobres,Baja,Muy dura e indeseable usos industrial y domestico,Potable - Excelente,No apta como FAAP,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Rojo,"CONDUC,DT,NO3,",SI,NO,SI,SI,SI,NO,SI,NO,SI,SI,SI,SI,SI,SI,SI
RIO BRAVO,NUEVO LEON,LINARES,CITRICOLA SUR,POZO,-99.70099,24.7828,Alta,Buena para riego,Excelente para riego,Potable - Dulce,Baja,Potable - Dura,Potable - Excelente,No apta como FAAP,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Rojo,"NO3,",SI,SI,SI,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,SI
RIO BRAVO,NUEVO LEON,CADEREYTA JIMENEZ,CITRICOLA NORTE,POZO,-99.82249,25.55197,Alta,Dudosa para riego,Cultivos con manejo especial,Ligeramente salobres,Potable - Optima,Muy dura e indeseable usos industrial y domestico,Aceptable,No apta como FAAP,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Rojo,"CONDUC,DT,NO3,",SI,NO,SI,SI,SI,NO,SI,NO,SI,SI,SI,SI,SI,SI,SI
RIO BRAVO,NUEVO LEON,GALEANA,NAVIDAD-POTOSI-RAICES,POZO,-100.32683,24.80118,Alta,Permisible para riego,Cultivos sensibles,Potable - Dulce,Potable - Optima,Potable - Dura,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Potable - Excelente,Verde,NINGUNO,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
